sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4857;pms5003;3630;6.540;3.297;2023-12-01T07:28:54.815873+00:00;P0;24.60
4857;pms5003;3630;6.540;3.297;2023-12-01T07:30:07.366802+00:00;P2;40.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:30:07.366802+00:00;P1;47.50
4857;pms5003;3630;6.540;3.297;2023-12-01T07:30:07.366802+00:00;P0;27.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:31:14.162639+00:00;P2;31.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:31:14.162639+00:00;P1;34.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:31:14.162639+00:00;P0;21.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:32:27.288244+00:00;P2;32.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:32:27.288244+00:00;P1;36.50
4857;pms5003;3630;6.540;3.297;2023-12-01T07:32:27.288244+00:00;P0;21.00
4858;DHT22;3630;6.540;3.297;2023-12-01T07:32:42.463260+00:00;humidity;80.90
4858;DHT22;3630;6.540;3.297;2023-12-01T07:32:42.463260+00:00;temperature;32.30
4857;pms5003;3630;6.540;3.297;2023-12-01T07:34:00.165178+00:00;P2;40.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:34:00.165178+00:00;P1;48.33
4857;pms5003;3630;6.540;3.297;2023-12-01T07:34:00.165178+00:00;P0;26.33
4858;DHT22;3630;6.540;3.297;2023-12-01T07:34:17.050500+00:00;humidity;79.40
4858;DHT22;3630;6.540;3.297;2023-12-01T07:34:17.050500+00:00;temperature;32.50
4857;pms5003;3630;6.540;3.297;2023-12-01T07:35:15.570484+00:00;P2;37.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:35:15.570484+00:00;P1;44.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:35:15.570484+00:00;P0;24.50
4858;DHT22;3630;6.540;3.297;2023-12-01T07:35:30.210670+00:00;humidity;78.20
4858;DHT22;3630;6.540;3.297;2023-12-01T07:35:30.210670+00:00;temperature;32.70
4858;DHT22;3630;6.540;3.297;2023-12-01T07:41:19.657564+00:00;humidity;77.50
4858;DHT22;3630;6.540;3.297;2023-12-01T07:41:19.657564+00:00;temperature;32.80
4857;pms5003;3630;6.540;3.297;2023-12-01T07:42:11.137025+00:00;P2;32.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:42:11.137025+00:00;P1;40.50
4857;pms5003;3630;6.540;3.297;2023-12-01T07:42:11.137025+00:00;P0;22.00
4858;DHT22;3630;6.540;3.297;2023-12-01T07:42:23.937843+00:00;humidity;76.00
4858;DHT22;3630;6.540;3.297;2023-12-01T07:42:23.937843+00:00;temperature;33.00
4858;DHT22;3630;6.540;3.297;2023-12-01T07:49:35.656958+00:00;humidity;77.20
4858;DHT22;3630;6.540;3.297;2023-12-01T07:49:35.656958+00:00;temperature;33.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:50:26.569678+00:00;P2;35.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:50:26.569678+00:00;P1;41.00
